"subject","p-value","effect size"
"freetype2","8.66039777436388e-08","0.335970064411346"
"gif2png","6.77549634343262e-24","0.525487086337216"
"jsoncpp","3.20280389874561e-22","0.553749508291568"
"jasper","0.0414834119583938","0.115873802813956"
"readelf","0.783179913040474","0.0591312395989083"
